ID,Area_px2,Area_um2,Perimetro_px,Diametro_px,Diametro_um,Eccentricity,Solidity
8775,141.00,3.705402,69.19,13.3988,2.172065,0.8965,0.6468
8776,60.00,1.576767,42.77,8.7404,1.416899,0.5778,0.5769
8777,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8778,31.00,0.814663,19.56,6.2825,1.018460,0.7623,0.9394
8779,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8780,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8781,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8782,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8783,23.00,0.604427,16.14,5.4115,0.877258,0.7087,0.9583
8784,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8785,106.00,2.785622,46.77,11.6174,1.883285,0.9280,0.8760
8786,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8787,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8788,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8789,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8790,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8791,35.00,0.919781,18.97,6.6756,1.082174,0.9393,0.7609
8792,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8793,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8794,25.00,0.656986,17.56,5.6419,0.914604,0.6484,0.9259
8795,38.00,0.998619,25.46,6.9558,1.127600,0.9449,1.0000
8796,83.00,2.181194,41.77,10.2800,1.666488,0.7936,0.7757
8797,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8798,24.00,0.630707,16.14,5.5279,0.896125,0.6725,1.0000
8799,43.00,1.130016,31.87,7.3993,1.199492,0.9573,0.7167
8800,122.00,3.206093,63.15,12.4634,2.020427,0.9582,0.6630
8801,32.00,0.840942,21.80,6.3831,1.034757,0.8990,0.9143
8802,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8803,27.00,0.709545,17.56,5.8632,0.950485,0.7503,1.0000
8804,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8805,45.00,1.182575,25.21,7.5694,1.227070,0.8541,0.9184
8806,38.00,0.998619,20.97,6.9558,1.127600,0.2888,0.9744
8807,35.00,0.919781,24.63,6.6756,1.082174,0.8813,0.8333
8808,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8809,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8810,21.00,0.551868,16.97,5.1709,0.838249,0.7071,0.9130
8811,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8812,30.00,0.788383,19.14,6.1804,1.001899,0.7108,0.9375
8813,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8814,28.00,0.735825,18.14,5.9708,0.967926,0.7429,0.9655
8815,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8816,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8817,30.00,0.788383,16.97,6.1804,1.001899,0.9402,0.7895
8819,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8820,23.00,0.604427,16.97,5.4115,0.877258,0.5205,0.9583
8821,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8822,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8823,55.00,1.445370,31.46,8.3683,1.356577,0.8815,0.8209
8824,27.00,0.709545,16.97,5.8632,0.950485,0.9071,0.7714
8825,47.00,1.235134,27.46,7.7358,1.254042,0.8993,0.9400
8826,102.00,2.680504,49.25,11.3961,1.847410,0.8277,0.6456
8828,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8829,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8830,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8831,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8832,54.00,1.419090,37.11,8.2919,1.344188,0.9015,0.6667
8834,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8835,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8836,36.00,0.946060,22.38,6.7703,1.097525,0.8610,0.9000
8837,21.00,0.551868,16.97,5.1709,0.838249,0.7071,0.9130
8838,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8839,28.00,0.735825,17.56,5.9708,0.967926,0.4872,1.0000
8840,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8841,150.00,3.941917,78.12,13.8198,2.240314,0.8243,0.5859
8842,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8843,27.00,0.709545,16.73,5.8632,0.950485,0.5281,1.0000
8844,39.00,1.024899,22.63,7.0467,1.142340,0.7746,1.0000
8845,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8846,33.00,0.867222,19.56,6.4820,1.050800,0.5934,0.9429
8847,300.00,7.883835,158.66,19.5441,3.168282,0.9253,0.3759
8848,193.00,5.071934,73.64,15.6759,2.541218,0.8719,0.6844
8849,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8850,49.00,1.287693,35.70,7.8987,1.280446,0.8640,0.6203
8851,23.00,0.604427,16.97,5.4115,0.877258,0.5205,0.9583
8852,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8853,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8854,217.00,5.702641,101.27,16.6221,2.694592,0.7191,0.6458
8855,106.00,2.785622,49.01,11.6174,1.883285,0.9392,0.8281
8857,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8858,31.00,0.814663,20.97,6.2825,1.018460,0.8981,0.9394
8859,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8861,225.00,5.912876,114.99,16.9257,2.743813,0.7776,0.5488
8862,65.00,1.708164,36.53,9.0973,1.474755,0.9305,0.8228
8863,29.00,0.762104,19.80,6.0765,0.985059,0.8848,0.8286
8864,67.00,1.760723,38.70,9.2362,1.497272,0.8704,0.7283
8866,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8867,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8868,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8869,97.00,2.549107,49.43,11.1132,1.801561,0.9012,0.7405
8870,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8871,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8872,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8873,57.00,1.497929,27.46,8.5191,1.381022,0.9807,0.7215
8874,209.00,5.492405,75.47,16.3128,2.644456,0.6100,0.7359
8875,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8876,26.00,0.683266,22.21,5.7536,0.932717,0.9236,0.6842
8877,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8878,38.00,0.998619,25.46,6.9558,1.127600,0.6492,0.8636
8879,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8880,33.00,0.867222,20.38,6.4820,1.050800,0.5780,0.9706
8881,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8882,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8883,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8884,49.00,1.287693,28.04,7.8987,1.280446,0.8679,0.9245
8885,316.00,8.304306,122.07,20.0585,3.251672,0.7532,0.6976
8886,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8887,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8888,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8889,276.00,7.253128,114.41,18.7460,3.038909,0.6668,0.7188
8890,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8891,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8892,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8893,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8894,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8895,28.00,0.735825,17.56,5.9708,0.967926,0.4872,1.0000
8896,310.00,8.146629,151.28,19.8672,3.220654,0.9248,0.5032
8897,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8898,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8899,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8900,39.00,1.024899,20.73,7.0467,1.142340,0.6911,1.0000
8901,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8902,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8903,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8904,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8905,140.00,3.679123,63.74,13.3512,2.164349,0.9343,0.7035
8906,88.00,2.312592,51.84,10.5851,1.715950,0.9544,0.7040
8907,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8908,75.00,1.970959,36.53,9.7721,1.584141,0.8094,0.8721
8909,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8910,88.00,2.312592,48.18,10.5851,1.715950,0.9717,0.7521
8911,131.00,3.442608,69.40,12.9149,2.093625,0.9499,0.6859
8912,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8914,50.00,1.313972,30.28,7.9788,1.293446,0.9318,0.8065
8915,56.00,1.471649,27.21,8.4440,1.368854,0.7028,0.9333
8916,105.00,2.759342,58.91,11.5624,1.874381,0.9242,0.6176
8917,43.00,1.130016,28.28,7.3993,1.199492,0.9574,1.0000
8918,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8919,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8920,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8921,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8922,58.00,1.524208,36.87,8.5935,1.393084,0.9180,0.7532
8923,24.00,0.630707,16.14,5.5279,0.896125,0.6725,1.0000
8924,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8925,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8926,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8927,70.00,1.839561,31.46,9.4407,1.530426,0.8122,0.9333
8928,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8929,36.00,0.946060,22.38,6.7703,1.097525,0.8528,0.9231
8930,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8931,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8932,52.00,1.366531,29.46,8.1369,1.319061,0.8566,0.9123
8933,22.00,0.578148,16.14,5.2926,0.857975,0.7508,0.9167
8934,118.00,3.100975,59.15,12.2573,1.987029,0.8446,0.7066
8935,21.00,0.551868,14.73,5.1709,0.838249,0.5216,1.0000
8936,23.00,0.604427,16.97,5.4115,0.877258,0.5205,0.9583
8937,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8938,97.00,2.549107,55.67,11.1132,1.801561,0.9641,0.6978
8939,24.00,0.630707,16.14,5.5279,0.896125,0.6725,1.0000
8940,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8941,26.00,0.683266,18.97,5.7536,0.932717,0.8667,0.9286
8942,36.00,0.946060,25.01,6.7703,1.097525,0.8611,0.8182
8943,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
