ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
292,32.00,20.38,6.38,0.6342,0.9412
293,13.00,11.31,4.07,0.0000,1.0000
294,50.00,32.28,7.98,0.8613,0.7692
295,13.00,11.31,4.07,0.0000,1.0000
296,13.00,11.31,4.07,0.0000,1.0000
297,361.00,115.82,21.44,0.9393,0.7352
298,50.00,26.38,7.98,0.8410,0.8772
299,50.00,31.11,7.98,0.9060,0.7042
300,56.00,31.70,8.44,0.9428,0.8358
301,13.00,11.31,4.07,0.0000,1.0000
302,28.00,24.21,5.97,0.9331,0.7368
303,13.00,11.31,4.07,0.0000,1.0000
304,18.00,13.31,4.79,0.3974,1.0000
305,13.00,11.31,4.07,0.0000,1.0000
306,27.00,16.73,5.86,0.5281,1.0000
307,13.00,11.31,4.07,0.0000,1.0000
308,60.00,39.94,8.74,0.9422,0.7229
309,13.00,11.31,4.07,0.0000,1.0000
310,37.00,21.80,6.86,0.7896,0.9737
311,13.00,11.31,4.07,0.0000,1.0000
312,21.00,16.97,5.17,0.7071,0.9130
313,23.00,16.97,5.41,0.5205,0.9583
314,13.00,11.31,4.07,0.0000,1.0000
315,36.00,27.87,6.77,0.9262,0.6923
316,35.00,20.97,6.68,0.6834,0.9722
317,18.00,13.31,4.79,0.3974,1.0000
318,31.00,18.97,6.28,0.4438,0.9688
319,30.00,17.31,6.18,0.4541,1.0000
320,13.00,11.31,4.07,0.0000,1.0000
321,41.00,22.63,7.23,0.0000,1.0000
322,13.00,11.31,4.07,0.0000,1.0000
323,13.00,11.31,4.07,0.0000,1.0000
324,13.00,11.31,4.07,0.0000,1.0000
325,13.00,11.31,4.07,0.0000,1.0000
326,48.00,28.28,7.82,0.9253,0.6957
327,13.00,11.31,4.07,0.0000,1.0000
328,13.00,11.31,4.07,0.0000,1.0000
329,13.00,11.31,4.07,0.0000,1.0000
330,21.00,14.73,5.17,0.5216,1.0000
331,89.00,55.08,10.65,0.9513,0.6593
332,13.00,11.31,4.07,0.0000,1.0000
333,43.00,27.46,7.40,0.8948,0.8776
334,13.00,11.31,4.07,0.0000,1.0000
335,21.00,14.73,5.17,0.5216,1.0000
336,18.00,13.31,4.79,0.3974,1.0000
337,13.00,11.31,4.07,0.0000,1.0000
338,18.00,13.31,4.79,0.3974,1.0000
339,26.00,17.56,5.75,0.7642,0.9630
340,23.00,16.97,5.41,0.8367,1.0000
341,13.00,11.31,4.07,0.0000,1.0000
342,88.00,50.67,10.59,0.9018,0.6667
343,41.00,23.21,7.23,0.8810,0.7736
344,72.00,40.77,9.57,0.7467,0.7200
345,21.00,14.73,5.17,0.5216,1.0000
346,13.00,11.31,4.07,0.0000,1.0000
347,13.00,11.31,4.07,0.0000,1.0000
348,22.00,16.14,5.29,0.7508,0.9167
349,34.00,19.56,6.58,0.4815,0.9714
351,43.00,23.21,7.40,0.9304,0.7167
352,18.00,13.31,4.79,0.3974,1.0000
353,18.00,13.31,4.79,0.3974,1.0000
354,18.00,13.31,4.79,0.3974,1.0000
355,18.00,13.31,4.79,0.3974,1.0000
356,13.00,11.31,4.07,0.0000,1.0000
357,30.00,21.80,6.18,0.9173,0.8824
358,13.00,11.31,4.07,0.0000,1.0000
359,13.00,11.31,4.07,0.0000,1.0000
360,13.00,11.31,4.07,0.0000,1.0000
361,18.00,14.14,4.79,0.7071,1.0000
362,13.00,11.31,4.07,0.0000,1.0000
363,18.00,14.14,4.79,0.7071,1.0000
364,29.00,18.14,6.08,0.6302,0.9667
365,54.00,29.46,8.29,0.8687,0.7826
366,18.00,14.14,4.79,0.7071,1.0000
367,179.00,90.99,15.10,0.7817,0.5831
368,370.00,170.04,21.70,0.9292,0.4793
369,13.00,11.31,4.07,0.0000,1.0000
370,18.00,14.14,4.79,0.7071,1.0000
371,13.00,11.31,4.07,0.0000,1.0000
372,18.00,14.14,4.79,0.7071,1.0000
373,643.00,252.03,28.61,0.7121,0.4927
374,13.00,11.31,4.07,0.0000,1.0000
375,29.00,22.31,6.08,0.9663,0.8286
376,31.00,21.80,6.28,0.8184,0.8857
377,13.00,11.31,4.07,0.0000,1.0000
378,78.00,43.60,9.97,0.9261,0.7879
379,13.00,11.31,4.07,0.0000,1.0000
380,21.00,14.73,5.17,0.5216,1.0000
381,26.00,17.31,5.75,0.1282,0.8966
382,76.00,41.60,9.84,0.4947,0.7525
383,87.00,53.67,10.52,0.9255,0.6744
384,76.00,38.77,9.84,0.8001,0.8636
385,29.00,18.97,6.08,0.2091,0.9355
386,29.00,20.38,6.08,0.8195,0.9062
387,21.00,16.97,5.17,0.7071,0.9130
389,13.00,11.31,4.07,0.0000,1.0000
390,28.00,18.97,5.97,0.8343,0.9655
